model_key,valid_fold,max_slice_length,padding,sensitivity,precision,mcc,micro_auprc,valid_mcc,train_bce,valid_bce,lr,finished_at
esm-33-gearnet,2,450,100,0.6651,0.7658,0.7003,0.7279,0.6114,0.0012,0.2094,0.0003,2024-06-04 17:29:22
esm-33-gearnet,2,450,125,0.656,0.7346,0.6795,0.7132,0.6157,0.0006,0.2,0.0003,2024-06-04 17:40:45
esm-33-gearnet,2,350,50,0.638,0.7905,0.6962,0.713,0.5952,0.0006,0.2132,0.0003,2024-06-04 17:51:25
esm-33-gearnet,2,350,75,0.6571,0.7744,0.6991,0.724,0.6008,0.0007,0.1954,0.0003,2024-06-04 18:02:27
esm-33-gearnet,2,350,100,0.6029,0.7925,0.6769,0.7126,0.5948,0.0005,0.1858,0.0003,2024-06-04 18:13:48
esm-33-gearnet,2,350,125,0.6427,0.8044,0.7056,0.7098,0.6156,0.0005,0.1841,0.0003,2024-06-04 18:25:32
esm-33-gearnet,3,650,50,0.6354,0.7544,0.6789,0.6822,0.7006,0.0004,0.1545,0.0003,2024-06-04 18:36:51
esm-33-gearnet,3,650,75,0.6042,0.7961,0.681,0.6851,0.6925,0.0009,0.1629,0.0003,2024-06-04 18:48:17
esm-33-gearnet,3,650,100,0.6369,0.7098,0.6575,0.6813,0.698,0.0006,0.1509,0.0003,2024-06-04 18:59:48
esm-33-gearnet,3,650,125,0.6116,0.7541,0.6654,0.6871,0.6952,0.0004,0.162,0.0003,2024-06-04 19:11:27
esm-33-gearnet,3,550,50,0.6111,0.7857,0.68,0.6839,0.6997,0.0005,0.1499,0.0003,2024-06-04 19:22:31
esm-33-gearnet,3,550,75,0.6381,0.7404,0.6733,0.6835,0.6993,0.0012,0.1589,0.0003,2024-06-04 19:33:42
esm-33-gearnet,3,550,100,0.6051,0.7676,0.668,0.6835,0.6884,0.0005,0.1861,0.0003,2024-06-04 19:45:00
esm-33-gearnet,3,550,125,0.5871,0.7758,0.6614,0.678,0.6986,0.0006,0.1534,0.0003,2024-06-04 19:56:26
esm-33-gearnet,3,450,50,0.6422,0.7447,0.6771,0.6972,0.6804,0.0006,0.1614,0.0003,2024-06-04 20:07:14
esm-33-gearnet,3,450,75,0.5979,0.7947,0.676,0.6942,0.6716,0.0014,0.1569,0.0003,2024-06-04 20:18:14
esm-33-gearnet,3,450,100,0.5872,0.7918,0.6683,0.6856,0.6754,0.0005,0.1582,0.0003,2024-06-04 20:29:24
esm-33-gearnet,3,450,125,0.6498,0.734,0.6759,0.695,0.6858,0.0006,0.1496,0.0003,2024-06-04 20:40:46
esm-33-gearnet,3,350,50,0.6268,0.7676,0.6788,0.6908,0.699,0.0004,0.1701,0.0003,2024-06-04 20:51:29
esm-33-gearnet,3,350,75,0.6061,0.7835,0.6745,0.6943,0.6914,0.0009,0.1599,0.0003,2024-06-04 21:02:28
esm-33-gearnet,3,350,100,0.6427,0.7765,0.6921,0.7013,0.7038,0.0006,0.1477,0.0003,2024-06-04 21:13:45
esm-33-gearnet,3,350,125,0.6475,0.7505,0.6819,0.7084,0.7114,0.0009,0.1369,0.0003,2024-06-04 21:25:32
esm-33-gearnet,4,650,50,0.5952,0.7722,0.6647,0.6737,0.6572,0.0009,0.1571,0.0003,2024-06-04 21:36:55
esm-33-gearnet,4,650,75,0.6562,0.7362,0.6813,0.6829,0.6551,0.0008,0.1572,0.0003,2024-06-04 21:48:19
esm-33-gearnet,4,650,100,0.6101,0.7869,0.6802,0.6931,0.6609,0.0009,0.1573,0.0003,2024-06-04 21:59:47
esm-33-gearnet,4,650,125,0.6101,0.7374,0.6565,0.6498,0.6652,0.0005,0.1621,0.0003,2024-06-04 22:11:23
esm-33-gearnet,4,550,50,0.6547,0.7365,0.6803,0.6937,0.6611,0.0009,0.1638,0.0003,2024-06-04 22:22:26
esm-33-gearnet,4,550,75,0.5751,0.7706,0.652,0.6828,0.6701,0.0009,0.1528,0.0003,2024-06-04 22:33:36
esm-33-gearnet,4,550,100,0.6306,0.7381,0.668,0.6836,0.6644,0.0007,0.1551,0.0003,2024-06-04 22:44:53
esm-33-gearnet,4,550,125,0.6411,0.7362,0.6728,0.686,0.6588,0.0006,0.1469,0.0003,2024-06-04 22:56:21
esm-33-gearnet,4,450,50,0.633,0.738,0.6687,0.6774,0.6506,0.0015,0.1523,0.0003,2024-06-04 23:07:07
