model_key,valid_fold,model_kwargs.lm_freeze_layer_count,model_kwargs.node_h_dim,model_kwargs.num_layers,model_kwargs.residual,cycle_size,hp_combination,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at,max_lr
esm-t33-gvp,3,31,"(256, 16)",4,True,10,21,0.6812,0.6921,0.6454,0.7474,0.9469,0.6609,-2.6,2024-09-11 17:13:19,0.002
esm-t33-gvp,3,31,"(256, 16)",4,False,20,22,0.6758,0.6678,0.6573,0.7239,0.9229,0.6824,-2.0,2024-09-11 17:27:54,0.002
esm-t33-gvp,3,31,"(256, 16)",4,False,10,23,0.6849,0.6729,0.6424,0.7583,0.9338,0.6778,-1.9,2024-09-11 17:35:26,0.002
esm-t33-gvp,3,31,"(512, 16)",3,True,20,24,0.6651,0.6674,0.6454,0.7155,0.9266,0.6715,-2.2,2024-09-11 17:50:52,0.002
esm-t33-gvp,3,31,"(512, 16)",3,True,10,25,0.6508,0.6755,0.5697,0.7742,0.939,0.6682,-2.0,2024-09-11 17:58:50,0.002
esm-t33-gvp,3,31,"(512, 16)",3,False,20,26,0.0,0.0589,0.0,,0.5867,0.0,-3.0,2024-09-11 18:14:09,0.002
esm-t33-gvp,3,31,"(512, 16)",3,False,10,27,0.6626,0.6767,0.6024,0.7589,0.9291,0.67,-2.5,2024-09-11 18:22:03,0.002
esm-t33-gvp,3,31,"(512, 16)",4,True,20,28,0.6665,0.6935,0.5593,0.8231,0.9302,0.6469,-2.6,2024-09-11 18:38:24,0.002
esm-t33-gvp,3,31,"(512, 16)",4,True,10,29,0.669,0.6651,0.6113,0.7616,0.925,0.6619,-2.3,2024-09-11 18:46:55,0.002
esm-t33-gvp,3,31,"(512, 16)",4,False,20,30,0.6489,0.6507,0.5861,0.7495,0.933,0.6662,-1.9,2024-09-11 19:03:11,0.002
esm-t33-gvp,3,31,"(512, 16)",4,False,10,31,0.6461,0.6676,0.6039,0.7229,0.935,0.6611,-3.0,2024-09-11 19:11:33,0.002
esm-t33-gvp,4,30,"(256, 16)",3,True,20,0,0.6667,0.6726,0.6128,0.755,0.9275,0.6477,-2.2,2024-09-11 19:26:02,0.002
esm-t33-gvp,4,30,"(256, 16)",3,True,10,1,0.6623,0.6989,0.6157,0.7424,0.9404,0.6623,-1.9,2024-09-11 19:33:31,0.002
esm-t33-gvp,4,30,"(256, 16)",3,False,20,2,0.669,0.697,0.6113,0.7616,0.9288,0.6504,-1.3,2024-09-11 19:47:59,0.002
esm-t33-gvp,4,30,"(256, 16)",3,False,10,3,0.6621,0.6924,0.595,0.7667,0.9363,0.6245,-2.6,2024-09-11 19:55:28,0.002
esm-t33-gvp,4,30,"(256, 16)",4,True,20,4,0.0,0.0541,0.0,,0.5379,0.0,-3.0,2024-09-11 20:10:29,0.002
esm-t33-gvp,4,30,"(256, 16)",4,True,10,5,0.6537,0.6982,0.6291,0.7102,0.9479,0.6326,-3.0,2024-09-11 20:18:18,0.002
esm-t33-gvp,4,30,"(256, 16)",4,False,20,6,0.6482,0.6731,0.5861,0.7481,0.926,0.6396,-1.2,2024-09-11 20:33:17,0.002
