model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,empty
esm-t33-pretrained,0,0.5394,0.595,0.5286,0.6066,0.8543,0.7548,-1.8,72,2024-09-27 01:56:44,0.0003,0.003,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5099,0.5285,0.4429,0.6458,0.8392,0.6525,-0.2,74,2024-09-27 01:56:57,0.0003,0.003,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5514,0.5772,0.4857,0.68,0.8556,0.7388,-3.4,75,2024-09-27 01:57:04,0.0003,0.003,4.0,31.0,empty,
esm-t33-pretrained,0,0.5082,0.4774,0.2857,0.9524,0.794,0.6481,-0.4,76,2024-09-27 01:57:11,0.0003,0.003,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4929,0.6072,0.5286,0.5211,0.8778,0.7555,-3.0,77,2024-09-27 01:57:17,0.0003,0.003,4.0,32.0,empty,
esm-t33-pretrained,0,0.553,0.5593,0.4714,0.7021,0.8322,0.7145,-1.6,78,2024-09-27 01:57:27,0.0003,0.003,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4383,0.5873,0.6571,0.3566,0.8471,0.732,-4.4,80,2024-09-27 01:57:44,0.0003,0.003,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5276,0.5825,0.5,0.614,0.8416,0.7388,-5.0,81,2024-09-27 01:57:52,0.0003,0.003,6.0,31.0,empty,
esm-t33-pretrained,0,0.5125,0.5145,0.3286,0.8519,0.8601,0.6865,-0.4,82,2024-09-27 01:58:02,0.0003,0.003,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.585,0.6033,0.3857,0.931,0.8718,0.7289,0.2,83,2024-09-27 01:58:10,0.0003,0.003,6.0,32.0,empty,
esm-t33-pretrained,0,0.4921,0.5295,0.3286,0.7931,0.8435,0.7176,1.2,84,2024-09-27 01:58:24,0.0003,0.003,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4818,0.5343,0.5143,0.5143,0.8425,0.7192,-3.4,86,2024-09-27 01:58:49,0.0003,0.003,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5627,0.5537,0.4571,0.7442,0.8177,0.7203,-5.0,87,2024-09-27 01:59:01,0.0003,0.003,10.0,31.0,empty,
esm-t33-pretrained,0,0.4163,0.4962,0.3857,0.5192,0.8349,0.7286,-2.8,88,2024-09-27 01:59:14,0.0003,0.003,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.3285,0.5752,0.1143,1.0,0.8899,0.7586,2.8,89,2024-09-27 01:59:25,0.0003,0.003,10.0,32.0,empty,
esm-t33-pretrained,0,0.5669,0.5943,0.5286,0.6607,0.8312,0.7244,-0.2,90,2024-09-27 01:59:33,0.0003,0.005,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5617,0.5911,0.5143,0.6667,0.8771,0.7327,-0.6,91,2024-09-27 01:59:40,0.0003,0.005,4.0,30.0,empty,
