model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,2,0.3057,0.4657,0.1,1.0,0.8631,0.3164,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 04:52:17
esm-t33-gearnet-pretrained,2,-0.0168,0.0825,0.0,0.0,0.5913,0.077,-1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 04:52:23
esm-t33-gearnet-pretrained,2,0.3106,0.3629,0.75,0.2074,0.8351,0.2808,2.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 04:52:30
esm-t33-gearnet-pretrained,2,0.2268,0.3171,0.7833,0.146,0.8069,0.2645,3.0,0.0003,0.003,4,30,empty,17,2024-10-01 04:52:36
esm-t33-gearnet-pretrained,2,0.768,0.7792,0.7,0.875,0.9382,0.8065,2.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 04:52:44
esm-t33-gearnet-pretrained,2,0.3471,0.7001,0.8333,0.2174,0.9263,0.3773,3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 04:52:52
esm-t33-gearnet-pretrained,2,0.2182,0.5914,1.0,0.1163,0.9033,0.1849,3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 04:53:00
esm-t33-gearnet-pretrained,2,-0.0097,0.1059,0.0,0.0,0.681,0.077,-3.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 04:53:08
esm-t33-gearnet-pretrained,2,0.4753,0.5278,0.7333,0.3761,0.919,0.5072,2.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 04:53:16
esm-t33-gearnet-pretrained,2,0.6463,0.6888,0.6833,0.6613,0.8621,0.7218,2.4,0.0003,0.003,6,30,empty,23,2024-10-01 04:53:24
esm-t33-gearnet-pretrained,2,0.7756,0.8189,0.6833,0.9111,0.9322,0.85,1.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 04:53:35
esm-t33-gearnet-pretrained,2,0.7771,0.7916,0.7,0.8936,0.9117,0.8204,1.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 04:53:47
esm-t33-gearnet-pretrained,2,0.7702,0.7651,0.7167,0.86,0.9427,0.8204,2.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 04:53:58
esm-t33-gearnet-pretrained,2,0.7,0.7315,0.65,0.7959,0.9302,0.8204,-3.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 04:54:10
esm-t33-gearnet-pretrained,2,0.7521,0.8008,0.75,0.7895,0.9675,0.8204,-1.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 04:54:21
esm-t33-gearnet-pretrained,2,0.6258,0.7202,0.5,0.8333,0.94,0.7492,2.0,0.0003,0.003,10,30,empty,29,2024-10-01 04:54:33
esm-t33-gearnet-pretrained,3,0.2669,0.2727,0.3167,0.322,0.7467,0.4056,-3.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 04:54:37
esm-t33-gearnet-pretrained,3,0.2542,0.5541,0.8667,0.1499,0.875,0.2468,1.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 04:54:42
esm-t33-gearnet-pretrained,3,0.0,0.0463,0.0,,0.2646,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 04:54:47
esm-t33-gearnet-pretrained,3,0.0,0.0447,0.0,,0.2307,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 04:54:51
esm-t33-gearnet-pretrained,3,-0.0238,0.0512,0.0,0.0,0.3347,0.0,-1.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 04:54:56
esm-t33-gearnet-pretrained,3,-0.0097,0.0458,0.0,0.0,0.2458,0.0,-5.0,0.0003,0.003,2,30,empty,5,2024-10-01 04:55:00
esm-t33-gearnet-pretrained,3,0.5226,0.5812,0.4667,0.6512,0.8698,0.5647,-0.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 04:55:06
esm-t33-gearnet-pretrained,3,0.1584,0.5351,1.0,0.0954,0.8781,0.1264,3.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 04:55:11
esm-t33-gearnet-pretrained,3,0.3338,0.389,0.15,0.8182,0.8376,0.63,-3.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 04:55:17
esm-t33-gearnet-pretrained,3,0.0,0.0568,0.0,,0.4146,0.0,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 04:55:22
esm-t33-gearnet-pretrained,3,0.262,0.2908,0.2667,0.3556,0.6905,0.4713,2.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 04:55:28
esm-t33-gearnet-pretrained,3,-0.0168,0.058,0.0,0.0,0.4238,0.0,1.4,0.0003,0.003,3,30,empty,11,2024-10-01 04:55:33
esm-t33-gearnet-pretrained,3,0.4275,0.4528,0.3333,0.625,0.8216,0.4177,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 04:55:40
esm-t33-gearnet-pretrained,3,-0.0217,0.0909,0.0,0.0,0.5957,0.2356,-2.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 04:55:46
esm-t33-gearnet-pretrained,3,0.4947,0.5751,0.4333,0.6341,0.9027,0.7641,3.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 04:55:52
esm-t33-gearnet-pretrained,3,0.0,0.0875,0.0,,0.5908,0.0,-3.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 04:55:59
esm-t33-gearnet-pretrained,3,-0.0194,0.0606,0.0,0.0,0.4525,0.0,0.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 04:56:05
esm-t33-gearnet-pretrained,3,0.1079,0.2375,0.5833,0.1067,0.6674,0.1648,-4.8,0.0003,0.003,4,30,empty,17,2024-10-01 04:56:11
esm-t33-gearnet-pretrained,3,0.781,0.838,0.7333,0.8627,0.9607,0.9091,1.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 04:56:20
esm-t33-gearnet-pretrained,3,0.6359,0.7856,0.7833,0.5663,0.9513,0.9374,-0.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 04:56:28
esm-t33-gearnet-pretrained,3,0.786,0.8693,0.7667,0.8364,0.9714,0.9374,-2.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 04:56:36
esm-t33-gearnet-pretrained,3,0.5094,0.7077,0.3833,0.7419,0.9623,0.3758,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 04:56:45
esm-t33-gearnet-pretrained,3,-0.0097,0.1923,0.0,0.0,0.8112,0.0,-0.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 04:56:53
